ID,Category,IAB Category,
69500,/All Apps,,
60000,/All Apps/Google Play,,
60001,/All Apps/Google Play/Books & Reference,IAB1-1,
60002,/All Apps/Google Play/Business,IAB3,
60003,/All Apps/Google Play/Comics,IAB9-11,
60004,/All Apps/Google Play/Communication,IAB4-9,
60005,/All Apps/Google Play/Education,IAB5,
60006,/All Apps/Google Play/Entertainment,IAB1,
60007,/All Apps/Google Play/Finance,IAB13,
60008,/All Apps/Google Play/Games,IAB-9,
60010,/All Apps/Google Play/Libraries & Demo,IAB1,
60011,/All Apps/Google Play/Lifestyle,IAB18,
60013,/All Apps/Google Play/Video Players & Editors,IAB19-17,
60015,/All Apps/Google Play/Music & Audio,IAB1-6,
60016,/All Apps/Google Play/News & Magazines,IAB-12,
60017,/All Apps/Google Play/Personalization,,
60018,/All Apps/Google Play/Photography,IAB9-23,
60019,/All Apps/Google Play/Productivity,,
60020,/All Apps/Google Play/Shopping,IAB22,
60021,/All Apps/Google Play/Social,,
60022,/All Apps/Google Play/Sports,IAB-17,
60023,/All Apps/Google Play/Tools,IAB22-4,
60024,/All Apps/Google Play/Maps & Navigation,,
60025,/All Apps/Google Play/Travel & Local,IAB20,
60026,/All Apps/Google Play/Weather,IAB15-10,
60028,/All Apps/Google Play/Games/Arcade,IAB17,
60029,/All Apps/Google Play/Games/Board,IAB9-5,
60030,/All Apps/Google Play/Games/Card,IAB9-7,
60031,/All Apps/Google Play/Games/Casual,IAB9-30,
60033,/All Apps/Google Play/Games/Racing,IAB17,
60034,/All Apps/Google Play/Games/Sports,IAB17,
60036,/All Apps/Google Play/Games/Action,IAB17,
60037,/All Apps/Google Play/Games/Adventure,IAB17,
60038,/All Apps/Google Play/Games/Casino,IAB9-7,
60039,/All Apps/Google Play/Games/Educational,IAB5,
60040,/All Apps/Google Play/Games/Family,IAB6,
60041,/All Apps/Google Play/Games/Music,IAB17,
60042,/All Apps/Google Play/Games/Puzzle,IAB9-5,
60043,/All Apps/Google Play/Games/Role Playing,IAB17,
60044,/All Apps/Google Play/Games/Simulation,IAB17,
60045,/All Apps/Google Play/Games/Strategy,IAB17,
60046,/All Apps/Google Play/Games/Trivia,IAB17,
60047,/All Apps/Google Play/Games/Word,IAB17,
60048,/All Apps/Google Play/Art & Design,IAB18,
60049,/All Apps/Google Play/Auto & Vehicles,IAB2,
60050,/All Apps/Google Play/Beauty,IAB18-1,
60051,/All Apps/Google Play/Dating,IAB14-1,
60052,/All Apps/Google Play/Events,,
60053,/All Apps/Google Play/Food & Drink,IAB8,
60054,/All Apps/Google Play/House & Home,IAB10,
60055,/All Apps/Google Play/Parenting,IAB6,
60500,/All Apps/iTunes App Store,,
60501,/All Apps/iTunes App Store/Book,IAB1-1,
60502,/All Apps/iTunes App Store/Business,IAB3,
60503,/All Apps/iTunes App Store/Education,IAB5,
60504,/All Apps/iTunes App Store/Entertainment,IAB1,
60505,/All Apps/iTunes App Store/Finance,IAB13,
60506,/All Apps/iTunes App Store/Games,IAB9,
60508,/All Apps/iTunes App Store/Lifestyle,IAB18,
60510,/All Apps/iTunes App Store/Music,IAB1-6,
60511,/All Apps/iTunes App Store/Navigation,,
60512,/All Apps/iTunes App Store/News,IAB12,
60513,/All Apps/iTunes App Store/Magazines & Newspapers,IAB12,
60514,/All Apps/iTunes App Store/Photo & Video,IAB19-17,
60515,/All Apps/iTunes App Store/Productivity,,
60516,/All Apps/iTunes App Store/Reference,IAB1-1,
60517,/All Apps/iTunes App Store/Social Networking,,
60518,/All Apps/iTunes App Store/Sports,IAB17,
60519,/All Apps/iTunes App Store/Travel,IAB20,
60520,/All Apps/iTunes App Store/Utilities,IAB22-4,
60521,/All Apps/iTunes App Store/Weather,IAB15-10,
60522,/All Apps/iTunes App Store/Games/Action,IAB17,
60523,/All Apps/iTunes App Store/Games/Adventure,IAB17,
60524,/All Apps/iTunes App Store/Games/Arcade,IAB17,
60525,/All Apps/iTunes App Store/Games/Board,IAB9-5,
60526,/All Apps/iTunes App Store/Games/Card,IAB9-7,
60527,/All Apps/iTunes App Store/Games/Casino,IAB9-7,
60528,/All Apps/iTunes App Store/Games/Dice,IAB9-5,
60529,/All Apps/iTunes App Store/Games/Educational,IAB5,
60530,/All Apps/iTunes App Store/Games/Family,IAB6,
60531,/All Apps/iTunes App Store/Games/Kids,IAB6,
60532,/All Apps/iTunes App Store/Games/Music,IAB17,
60533,/All Apps/iTunes App Store/Games/Puzzle,IAB9-5,
60534,/All Apps/iTunes App Store/Games/Racing,IAB17-1,
60535,/All Apps/iTunes App Store/Games/Role Playing,IAB17,
60536,/All Apps/iTunes App Store/Games/Simulation,IAB17,
60537,/All Apps/iTunes App Store/Games/Sports,IAB17,
60538,/All Apps/iTunes App Store/Games/Strategy,IAB17,
60539,/All Apps/iTunes App Store/Games/Trivia,IAB17,
60540,/All Apps/iTunes App Store/Games/Word,IAB17,
60541,/All Apps/iTunes App Store/Catalogs,IAB1,
60542,/All Apps/iTunes App Store/Magazines & Newspapers/News & Politics,IAB12,
60543,/All Apps/iTunes App Store/Magazines & Newspapers/Fashion & Style,IAB18,
60544,/All Apps/iTunes App Store/Magazines & Newspapers/Home & Garden,IAB12,
60545,/All Apps/iTunes App Store/Magazines & Newspapers/Outdoors & Nature,IAB12,
60546,/All Apps/iTunes App Store/Magazines & Newspapers/Sports & Leisure,IAB12,
60547,/All Apps/iTunes App Store/Magazines & Newspapers/Automotive,IAB12,
60548,/All Apps/iTunes App Store/Magazines & Newspapers/Arts & Photography,IAB9,
60549,/All Apps/iTunes App Store/Magazines & Newspapers/Brides & Weddings,IAB12,
60550,/All Apps/iTunes App Store/Magazines & Newspapers/Business & Investing,IAB3,
60551,/All Apps/iTunes App Store/Magazines & Newspapers/Children's Magazines,IAB12,
60552,/All Apps/iTunes App Store/Magazines & Newspapers/Computers & Internet,IAB19,
60553,/All Apps/iTunes App Store/Magazines & Newspapers/Cooking Food & Drink,IAB8,
60554,/All Apps/iTunes App Store/Magazines & Newspapers/Crafts & Hobbies,IAB9,
60555,/All Apps/iTunes App Store/Magazines & Newspapers/Electronics & Audio,IAB19,
60556,/All Apps/iTunes App Store/Magazines & Newspapers/Entertainment,IAB19-29,
60557,/All Apps/iTunes App Store/Magazines & Newspapers/Health Mind & Body,IAB7,
60558,/All Apps/iTunes App Store/Magazines & Newspapers/History,IAB5-3,
60559,/All Apps/iTunes App Store/Magazines & Newspapers/Literary Magazines & Journals,IAB1-1,
60560,/All Apps/iTunes App Store/Magazines & Newspapers/Men's Interest,IAB9,
60561,/All Apps/iTunes App Store/Magazines & Newspapers/Movies & Music,IAB1-6,
60562,/All Apps/iTunes App Store/Magazines & Newspapers/Parenting & Family,IAB6,
60563,/All Apps/iTunes App Store/Magazines & Newspapers/Pets,IAB16,
60564,/All Apps/iTunes App Store/Magazines & Newspapers/Professional & Trade,IAB3,
60565,/All Apps/iTunes App Store/Magazines & Newspapers/Regional News,IAB19,
60566,/All Apps/iTunes App Store/Magazines & Newspapers/Science,IAB15,
60567,/All Apps/iTunes App Store/Magazines & Newspapers/Teens,IAB14-6,
60568,/All Apps/iTunes App Store/Magazines & Newspapers/Travel & Regional,IAB20,
60569,/All Apps/iTunes App Store/Magazines & Newspapers/Women's Interest,IAB9,
60570,/All Apps/Apple App Store/Food & Drink,IAB8,
60571,/All Apps/Apple App Store/Shopping,IAB22,
60572,/All Apps/Apple App Store/Stickers,,
60573,/All Apps/Apple App Store/Stickers/Emoji & Expressions,,
60574,/All Apps/Apple App Store/Stickers/Animals & Nature,IAB16,
60575,/All Apps/Apple App Store/Stickers/Art,IAB18,
60576,/All Apps/Apple App Store/Stickers/Celebrations,,
60577,/All Apps/Apple App Store/Stickers/Celebrities,,
60578,/All Apps/Apple App Store/Stickers/Comics & Cartoons,,
60579,/All Apps/Apple App Store/Stickers/Eating & Drinking,IAB8,
60580,/All Apps/Apple App Store/Stickers/Gaming,IAB9,
60581,/All Apps/Apple App Store/Stickers/Movies & TV,IAB1-5,
60582,/All Apps/Apple App Store/Stickers/Music,IAB1-6,
60583,/All Apps/Apple App Store/Stickers/People,,
60584,/All Apps/Apple App Store/Stickers/Places & Objects,,
60585,/All Apps/Apple App Store/Stickers/Sports & Activities,IAB17,
60586,/All Apps/Apple App Store/Stickers/Kids & Family,IAB6,
60587,/All Apps/Apple App Store/Stickers/Fashion,IAB18,
61001,/All Apps/Windows Phone Apps,,
